+-------+-------------------------------+-------------------------------------------+
| Linha |          Origem <r,c>         |               Destino <r,c>               |
+-------+-------------------------------+-------------------------------------------+
|   1   |  [280.74801061   7.33770347]  |  (384.6251034744432, 10.052662347316092)  |
|   2   |  [274.74270557 -36.73886699]  |  (437.9126480445241, -58.55811346986919)  |
|   3   |  [254.7250221  -77.49774254]  |  (457.3704073003431, -139.15073508815266) |
|   4   |  [261.73121132 -16.74700296]  | (364.60320464377816, -23.329319104356333) |
|   5   |  [253.72413793  18.04402373]  |   (314.0200669448105, 22.33207130290073)  |
|   6   |  [241.71352785  26.26091833]  |  (286.88621804000167, 31.16869630545074)  |
|   7   | [ 272.74093722 -125.23525172] | (-2714.7533130920283, 1246.5411976316686) |
|   8   |  [291.75773652  70.43999222]  |  (350.25535244976385, 84.56325647923114)  |
|   9   | [ 286.75331565 -112.59976453] |  (-5043.986133316757, 1980.628016827846)  |
|   10  | [  98.58709107 -293.68428175] | (503.95514448453804, -1501.2483179827775) |
|   11  |  [301.76657825 122.82641116]  |  (337.4111032936538, 137.33460857163075)  |
|   12  | [  52.5464191  -341.03434208] |  (-294.4867673667305, 1911.2644150671676) |
|   13  |  [327.78956676  -4.43319789]  |  (588.5611331664533, -7.960009222042557)  |
|   14  |  [267.73651636  88.79634927]  |   (299.3614266369897, 99.28493191496659)  |
|   15  |  [326.78868258 -72.10525803]  |  (4397.372057795691, -970.2711990647715)  |
|   16  |  [328.79045093  45.32962989]  |  (466.00051657941503, 64.24648552619787)  |
|   17  |  [249.72060124  86.59968713]  |  (273.49549395139746, 94.84449457214956)  |
|   18  | [ -14.51282051 -385.87970198] |  (39.06132722323967, 1038.5971007109208)  |
|   19  |  [350.80990274 -44.50878075]  | (2299.7320640308844, -291.77702630333994) |
|   20  | [ 119.60565871 -275.16393351] |  (742.0331751500471, -1707.1162808641202) |
|   21  | [ 111.59858532 -288.36695453] |  (-8502.066116277918, 21969.050110052223) |
|   22  |  [305.77011494 -94.2260561 ]  |  (69882.91203097126, -21535.103883305426) |
|   23  | [ -58.55172414 -408.97316854] |  (121.42276722373607, 848.1159961561132)  |
|   24  |  [230.70380195  96.82366109]  |  (244.82412856601547, 102.74979540961398) |
|   25  | [ 142.62599469 -255.35019425] | (1419.6416407912473, -2541.6528699324585) |
|   26  | [ -40.53580902 -397.49294515] |   (89.82818255623351, 880.8525031730347)  |
|   27  |  [315.77895668   2.11322854]  |  (508.8668277894587, 3.4053944393733997)  |
|   28  | [ -30.52696729 -393.58247192] |   (72.72617026481109, 937.6544220197784)  |
|   29  |  [373.83023873  39.67073876]  |   (680.1311213740933, 72.17528504049935)  |
|   30  | [ -75.56675508 -415.38234055] |  (143.24748530478584, 787.4160489976775)  |
|   31  |  [378.83465959  -3.07370803]  |  (1274.068826243538, -10.337268472331097) |
|   32  | [ 196.67374005 -194.16808816] |  (924.3940882545638, -912.6171738675195)  |
|   33  | [ 157.63925729 -219.872767  ] |  (-476.8652026094848, 665.1241155616342)  |
|   34  | [ 130.61538462 -268.52340855] |  (1991.5420649786151, -4094.277753959581) |
|   35  |  [279.74712644 139.2908349 ]  |  (298.7721306246712, 148.76370688227098)  |
|   36  | [-151.63395225 -349.10247371] |   (174.36233050590494, 401.429363254896)  |
|   37  | [  14.51282051 -356.85406095] |  (-39.06132722323937, 960.4744462644418)  |
|   38  |  [210.68611848 -65.26870837]  |  (291.0362874730546, -90.16048474351209)  |
|   39  | [ 141.62511052 -231.02806455] |  (-389.7216218081354, 635.7391826157592)  |
|   40  |  [217.69230769 -20.80700942]  |   (271.166274500639, -25.9180459208648)   |
|   41  |  [253.72413793 173.75783069]  |  (258.95157073389487, 177.3377320348878)  |
|   42  | [  99.58797524 -257.36916089] |  (-220.68899171222793, 570.3353289045733) |
|   43  | [ 237.70999116 -149.91406728] |  (-963.0721307177695, 607.3706010214728)  |
|   44  |  [352.81167109 -13.1266656 ]  |   (873.7216655891194, -32.5075757664284)  |
|   45  |  [226.70026525 181.29339187]  |  (228.17518207742276, 182.47289059263088) |
|   46  | [ 184.66312997 -167.43280759] | (389.15031825836655, -352.83995440314277) |
|   47  | [ 168.6489832  -222.92261034] |  (825.8969884926896, -1091.6823158571535) |
|   48  | [ 149.63218391 -224.27874748] |  (421.22120664425256, -631.3545800709514) |
|   49  | [ 139.62334218 -242.28502545] |  (469.5709412443157, -814.8351534715534)  |
|   50  | [  80.57117595 -268.14894046] |  (-164.47747393419755, 547.3975009636748) |
|   51  | [  61.55437666 -278.26120881] |  (-116.68503769860014, 527.4835259942915) |
|   52  | [ 219.69407604 -160.07428316] |  (-699.6486178056142, 509.78047735704206) |
|   53  | [-271.74005305 -296.22740454] |  (272.2506874993485, 296.78405386488714)  |
|   54  | [ 203.67992927 -176.08842993] |  (-648.6491741386903, 560.7799210239659)  |
|   55  | [-178.65782493 -351.3097119 ] |  (198.05737041137726, 389.4566485661463)  |
|   56  | [-201.67816092 -229.65834667] |  (202.17339148369297, 230.22228394303895) |
|   57  |  [299.7648099  275.27745841]  |  (300.32810646797356, 275.79474010243484) |
|   58  | [ 111.59858532 -249.97374408] |  (-260.94024924549615, 584.4895873509574) |
|   59  | [-218.69319187 -349.26975273] |  (231.36813007983346, 369.51259841800044) |
|   60  |  [224.69849691 217.69809074]  |  (224.73291576242994, 217.73143728417236) |
+-------+-------------------------------+-------------------------------------------+
